air_temp,azimuth,ghi,period_end,period
14,-7,0,2023-09-01T00:05:00Z,PT5M
14,-8,0,2023-09-01T00:10:00Z,PT5M
14,-9,0,2023-09-01T00:15:00Z,PT5M
14,-11,0,2023-09-01T00:20:00Z,PT5M
14,-12,0,2023-09-01T00:25:00Z,PT5M
14,-14,0,2023-09-01T00:30:00Z,PT5M
14,-15,0,2023-09-01T00:35:00Z,PT5M
14,-16,0,2023-09-01T00:40:00Z,PT5M
14,-18,0,2023-09-01T00:45:00Z,PT5M
14,-19,0,2023-09-01T00:50:00Z,PT5M
14,-21,0,2023-09-01T00:55:00Z,PT5M
14,-22,0,2023-09-01T01:00:00Z,PT5M
14,-23,0,2023-09-01T01:05:00Z,PT5M
14,-25,0,2023-09-01T01:10:00Z,PT5M
14,-26,0,2023-09-01T01:15:00Z,PT5M
14,-27,0,2023-09-01T01:20:00Z,PT5M
14,-29,0,2023-09-01T01:25:00Z,PT5M
14,-30,0,2023-09-01T01:30:00Z,PT5M
14,-31,0,2023-09-01T01:35:00Z,PT5M
14,-32,0,2023-09-01T01:40:00Z,PT5M
14,-34,0,2023-09-01T01:45:00Z,PT5M
14,-35,0,2023-09-01T01:50:00Z,PT5M
14,-36,0,2023-09-01T01:55:00Z,PT5M
14,-38,0,2023-09-01T02:00:00Z,PT5M
14,-39,0,2023-09-01T02:05:00Z,PT5M
14,-40,0,2023-09-01T02:10:00Z,PT5M
15,-41,0,2023-09-01T02:15:00Z,PT5M
15,-42,0,2023-09-01T02:20:00Z,PT5M
15,-44,0,2023-09-01T02:25:00Z,PT5M
15,-45,0,2023-09-01T02:30:00Z,PT5M
15,-46,0,2023-09-01T02:35:00Z,PT5M
15,-47,0,2023-09-01T02:40:00Z,PT5M
15,-48,0,2023-09-01T02:45:00Z,PT5M
15,-49,0,2023-09-01T02:50:00Z,PT5M
15,-50,0,2023-09-01T02:55:00Z,PT5M
15,-52,0,2023-09-01T03:00:00Z,PT5M
15,-53,0,2023-09-01T03:05:00Z,PT5M
15,-54,0,2023-09-01T03:10:00Z,PT5M
15,-55,0,2023-09-01T03:15:00Z,PT5M
15,-56,0,2023-09-01T03:20:00Z,PT5M
15,-57,0,2023-09-01T03:25:00Z,PT5M
15,-58,0,2023-09-01T03:30:00Z,PT5M
15,-59,0,2023-09-01T03:35:00Z,PT5M
15,-60,0,2023-09-01T03:40:00Z,PT5M
15,-61,0,2023-09-01T03:45:00Z,PT5M
15,-62,0,2023-09-01T03:50:00Z,PT5M
15,-63,0,2023-09-01T03:55:00Z,PT5M
15,-64,0,2023-09-01T04:00:00Z,PT5M
15,-65,0,2023-09-01T04:05:00Z,PT5M
15,-66,0,2023-09-01T04:10:00Z,PT5M
15,-67,0,2023-09-01T04:15:00Z,PT5M
15,-68,0,2023-09-01T04:20:00Z,PT5M
15,-69,0,2023-09-01T04:25:00Z,PT5M
15,-70,0,2023-09-01T04:30:00Z,PT5M
