air_temp,azimuth,ghi,period_end,period
11,-7,0,2020-09-01T00:05:00Z,PT5M
11,-8,0,2020-09-01T00:10:00Z,PT5M
11,-10,0,2020-09-01T00:15:00Z,PT5M
11,-11,0,2020-09-01T00:20:00Z,PT5M
11,-12,0,2020-09-01T00:25:00Z,PT5M
11,-14,0,2020-09-01T00:30:00Z,PT5M
11,-15,0,2020-09-01T00:35:00Z,PT5M
11,-17,0,2020-09-01T00:40:00Z,PT5M
11,-18,0,2020-09-01T00:45:00Z,PT5M
11,-19,0,2020-09-01T00:50:00Z,PT5M
11,-21,0,2020-09-01T00:55:00Z,PT5M
11,-22,0,2020-09-01T01:00:00Z,PT5M
11,-23,0,2020-09-01T01:05:00Z,PT5M
11,-25,0,2020-09-01T01:10:00Z,PT5M
11,-26,0,2020-09-01T01:15:00Z,PT5M
11,-27,0,2020-09-01T01:20:00Z,PT5M
10,-29,0,2020-09-01T01:25:00Z,PT5M
10,-30,0,2020-09-01T01:30:00Z,PT5M
10,-31,0,2020-09-01T01:35:00Z,PT5M
10,-33,0,2020-09-01T01:40:00Z,PT5M
10,-34,0,2020-09-01T01:45:00Z,PT5M
10,-35,0,2020-09-01T01:50:00Z,PT5M
10,-36,0,2020-09-01T01:55:00Z,PT5M
10,-38,0,2020-09-01T02:00:00Z,PT5M
10,-39,0,2020-09-01T02:05:00Z,PT5M
10,-40,0,2020-09-01T02:10:00Z,PT5M
10,-41,0,2020-09-01T02:15:00Z,PT5M
10,-43,0,2020-09-01T02:20:00Z,PT5M
10,-44,0,2020-09-01T02:25:00Z,PT5M
10,-45,0,2020-09-01T02:30:00Z,PT5M
10,-46,0,2020-09-01T02:35:00Z,PT5M
10,-47,0,2020-09-01T02:40:00Z,PT5M
10,-48,0,2020-09-01T02:45:00Z,PT5M
10,-50,0,2020-09-01T02:50:00Z,PT5M
9,-51,0,2020-09-01T02:55:00Z,PT5M
9,-52,0,2020-09-01T03:00:00Z,PT5M
9,-53,0,2020-09-01T03:05:00Z,PT5M
9,-54,0,2020-09-01T03:10:00Z,PT5M
9,-55,0,2020-09-01T03:15:00Z,PT5M
9,-56,0,2020-09-01T03:20:00Z,PT5M
9,-57,0,2020-09-01T03:25:00Z,PT5M
9,-58,0,2020-09-01T03:30:00Z,PT5M
