air_temp,azimuth,ghi,period_end,period
11,-7,0,2017-09-01T00:05:00Z,PT5M
11,-8,0,2017-09-01T00:10:00Z,PT5M
11,-9,0,2017-09-01T00:15:00Z,PT5M
11,-11,0,2017-09-01T00:20:00Z,PT5M
11,-12,0,2017-09-01T00:25:00Z,PT5M
11,-14,0,2017-09-01T00:30:00Z,PT5M
11,-15,0,2017-09-01T00:35:00Z,PT5M
11,-16,0,2017-09-01T00:40:00Z,PT5M
11,-18,0,2017-09-01T00:45:00Z,PT5M
11,-19,0,2017-09-01T00:50:00Z,PT5M
11,-21,0,2017-09-01T00:55:00Z,PT5M
11,-22,0,2017-09-01T01:00:00Z,PT5M
11,-23,0,2017-09-01T01:05:00Z,PT5M
11,-25,0,2017-09-01T01:10:00Z,PT5M
11,-26,0,2017-09-01T01:15:00Z,PT5M
12,-27,0,2017-09-01T01:20:00Z,PT5M
12,-29,0,2017-09-01T01:25:00Z,PT5M
12,-30,0,2017-09-01T01:30:00Z,PT5M
12,-31,0,2017-09-01T01:35:00Z,PT5M
12,-32,0,2017-09-01T01:40:00Z,PT5M
12,-34,0,2017-09-01T01:45:00Z,PT5M
12,-35,0,2017-09-01T01:50:00Z,PT5M
12,-36,0,2017-09-01T01:55:00Z,PT5M
12,-38,0,2017-09-01T02:00:00Z,PT5M
12,-39,0,2017-09-01T02:05:00Z,PT5M
12,-40,0,2017-09-01T02:10:00Z,PT5M
12,-41,0,2017-09-01T02:15:00Z,PT5M
12,-42,0,2017-09-01T02:20:00Z,PT5M
11,-44,0,2017-09-01T02:25:00Z,PT5M
11,-45,0,2017-09-01T02:30:00Z,PT5M
11,-46,0,2017-09-01T02:35:00Z,PT5M
11,-47,0,2017-09-01T02:40:00Z,PT5M
11,-48,0,2017-09-01T02:45:00Z,PT5M
11,-49,0,2017-09-01T02:50:00Z,PT5M
11,-50,0,2017-09-01T02:55:00Z,PT5M
11,-52,0,2017-09-01T03:00:00Z,PT5M
11,-53,0,2017-09-01T03:05:00Z,PT5M
11,-54,0,2017-09-01T03:10:00Z,PT5M
11,-55,0,2017-09-01T03:15:00Z,PT5M
11,-56,0,2017-09-01T03:20:00Z,PT5M
11,-57,0,2017-09-01T03:25:00Z,PT5M
11,-58,0,2017-09-01T03:30:00Z,PT5M
11,-59,0,2017-09-01T03:35:00Z,PT5M
11,-60,0,2017-09-01T03:40:00Z,PT5M
11,-61,0,2017-09-01T03:45:00Z,PT5M
11,-62,0,2017-09-01T03:50:00Z,PT5M
10,-63,0,2017-09-01T03:55:00Z,PT5M
10,-64,0,2017-09-01T04:00:00Z,PT5M
10,-65,0,2017-09-01T04:05:00Z,PT5M
10,-66,0,2017-09-01T04:10:00Z,PT5M
10,-67,0,2017-09-01T04:15:00Z,PT5M
10,-68,0,2017-09-01T04:20:00Z,PT5M
10,-69,0,2017-09-01T04:25:00Z,PT5M
10,-70,0,2017-09-01T04:30:00Z,PT5M
10,-71,0,2017-09-01T04:35:00Z,PT5M
10,-72,0,2017-09-01T04:40:00Z,PT5M
10,-73,0,2017-09-01T04:45:00Z,PT5M
10,-74,0,2017-09-01T04:50:00Z,PT5M
10,-75,0,2017-09-01T04:55:00Z,PT5M
10,-76,2,2017-09-01T05:00:00Z,PT5M
10,-77,6,2017-09-01T05:05:00Z,PT5M
10,-78,12,2017-09-01T05:10:00Z,PT5M
10,-79,17,2017-09-01T05:15:00Z,PT5M
10,-80,23,2017-09-01T05:20:00Z,PT5M
10,-81,30,2017-09-01T05:25:00Z,PT5M
10,-82,38,2017-09-01T05:30:00Z,PT5M
