air_temp,azimuth,ghi,period_end,period
15,-7,0,2021-09-01T00:05:00Z,PT5M
15,-8,0,2021-09-01T00:10:00Z,PT5M
15,-9,0,2021-09-01T00:15:00Z,PT5M
15,-11,0,2021-09-01T00:20:00Z,PT5M
15,-12,0,2021-09-01T00:25:00Z,PT5M
15,-14,0,2021-09-01T00:30:00Z,PT5M
15,-15,0,2021-09-01T00:35:00Z,PT5M
15,-16,0,2021-09-01T00:40:00Z,PT5M
15,-18,0,2021-09-01T00:45:00Z,PT5M
15,-19,0,2021-09-01T00:50:00Z,PT5M
15,-21,0,2021-09-01T00:55:00Z,PT5M
15,-22,0,2021-09-01T01:00:00Z,PT5M
15,-23,0,2021-09-01T01:05:00Z,PT5M
15,-25,0,2021-09-01T01:10:00Z,PT5M
15,-26,0,2021-09-01T01:15:00Z,PT5M
15,-27,0,2021-09-01T01:20:00Z,PT5M
15,-29,0,2021-09-01T01:25:00Z,PT5M
15,-30,0,2021-09-01T01:30:00Z,PT5M
15,-31,0,2021-09-01T01:35:00Z,PT5M
15,-32,0,2021-09-01T01:40:00Z,PT5M
15,-34,0,2021-09-01T01:45:00Z,PT5M
15,-35,0,2021-09-01T01:50:00Z,PT5M
15,-36,0,2021-09-01T01:55:00Z,PT5M
15,-38,0,2021-09-01T02:00:00Z,PT5M
15,-39,0,2021-09-01T02:05:00Z,PT5M
15,-40,0,2021-09-01T02:10:00Z,PT5M
15,-41,0,2021-09-01T02:15:00Z,PT5M
14,-42,0,2021-09-01T02:20:00Z,PT5M
14,-44,0,2021-09-01T02:25:00Z,PT5M
14,-45,0,2021-09-01T02:30:00Z,PT5M
14,-46,0,2021-09-01T02:35:00Z,PT5M
14,-47,0,2021-09-01T02:40:00Z,PT5M
14,-48,0,2021-09-01T02:45:00Z,PT5M
14,-49,0,2021-09-01T02:50:00Z,PT5M
14,-50,0,2021-09-01T02:55:00Z,PT5M
14,-52,0,2021-09-01T03:00:00Z,PT5M
14,-53,0,2021-09-01T03:05:00Z,PT5M
14,-54,0,2021-09-01T03:10:00Z,PT5M
14,-55,0,2021-09-01T03:15:00Z,PT5M
14,-56,0,2021-09-01T03:20:00Z,PT5M
14,-57,0,2021-09-01T03:25:00Z,PT5M
14,-58,0,2021-09-01T03:30:00Z,PT5M
14,-59,0,2021-09-01T03:35:00Z,PT5M
14,-60,0,2021-09-01T03:40:00Z,PT5M
14,-61,0,2021-09-01T03:45:00Z,PT5M
14,-62,0,2021-09-01T03:50:00Z,PT5M
14,-63,0,2021-09-01T03:55:00Z,PT5M
14,-64,0,2021-09-01T04:00:00Z,PT5M
14,-65,0,2021-09-01T04:05:00Z,PT5M
14,-66,0,2021-09-01T04:10:00Z,PT5M
14,-67,0,2021-09-01T04:15:00Z,PT5M
14,-68,0,2021-09-01T04:20:00Z,PT5M
14,-69,0,2021-09-01T04:25:00Z,PT5M
14,-70,0,2021-09-01T04:30:00Z,PT5M
15,-71,0,2021-09-01T04:35:00Z,PT5M
15,-72,0,2021-09-01T04:40:00Z,PT5M
15,-73,0,2021-09-01T04:45:00Z,PT5M
15,-74,0,2021-09-01T04:50:00Z,PT5M
15,-75,0,2021-09-01T04:55:00Z,PT5M
15,-76,2,2021-09-01T05:00:00Z,PT5M
15,-77,7,2021-09-01T05:05:00Z,PT5M
15,-78,14,2021-09-01T05:10:00Z,PT5M
15,-79,21,2021-09-01T05:15:00Z,PT5M
15,-80,29,2021-09-01T05:20:00Z,PT5M
15,-81,28,2021-09-01T05:25:00Z,PT5M
15,-82,25,2021-09-01T05:30:00Z,PT5M
15,-83,20,2021-09-01T05:35:00Z,PT5M
15,-84,22,2021-09-01T05:40:00Z,PT5M
15,-85,25,2021-09-01T05:45:00Z,PT5M
15,-86,28,2021-09-01T05:50:00Z,PT5M
15,-87,32,2021-09-01T05:55:00Z,PT5M
15,-88,35,2021-09-01T06:00:00Z,PT5M
15,-89,39,2021-09-01T06:05:00Z,PT5M
15,-90,44,2021-09-01T06:10:00Z,PT5M
15,-91,49,2021-09-01T06:15:00Z,PT5M
15,-92,55,2021-09-01T06:20:00Z,PT5M
15,-93,60,2021-09-01T06:25:00Z,PT5M
15,-94,65,2021-09-01T06:30:00Z,PT5M
15,-95,69,2021-09-01T06:35:00Z,PT5M
15,-96,73,2021-09-01T06:40:00Z,PT5M
15,-97,76,2021-09-01T06:45:00Z,PT5M
15,-98,79,2021-09-01T06:50:00Z,PT5M
15,-99,83,2021-09-01T06:55:00Z,PT5M
15,-100,87,2021-09-01T07:00:00Z,PT5M
15,-101,91,2021-09-01T07:05:00Z,PT5M
15,-102,93,2021-09-01T07:10:00Z,PT5M
15,-103,94,2021-09-01T07:15:00Z,PT5M
15,-104,95,2021-09-01T07:20:00Z,PT5M
15,-105,98,2021-09-01T07:25:00Z,PT5M
15,-106,101,2021-09-01T07:30:00Z,PT5M
15,-107,104,2021-09-01T07:35:00Z,PT5M
15,-108,110,2021-09-01T07:40:00Z,PT5M
15,-109,116,2021-09-01T07:45:00Z,PT5M
15,-110,123,2021-09-01T07:50:00Z,PT5M
15,-111,125,2021-09-01T07:55:00Z,PT5M
15,-113,126,2021-09-01T08:00:00Z,PT5M
15,-114,127,2021-09-01T08:05:00Z,PT5M
15,-115,130,2021-09-01T08:10:00Z,PT5M
15,-116,134,2021-09-01T08:15:00Z,PT5M
15,-117,137,2021-09-01T08:20:00Z,PT5M
15,-118,140,2021-09-01T08:25:00Z,PT5M
15,-120,141,2021-09-01T08:30:00Z,PT5M
15,-121,143,2021-09-01T08:35:00Z,PT5M
15,-122,143,2021-09-01T08:40:00Z,PT5M
16,-123,143,2021-09-01T08:45:00Z,PT5M
16,-125,143,2021-09-01T08:50:00Z,PT5M
16,-126,143,2021-09-01T08:55:00Z,PT5M
16,-127,143,2021-09-01T09:00:00Z,PT5M
16,-129,142,2021-09-01T09:05:00Z,PT5M
16,-130,140,2021-09-01T09:10:00Z,PT5M
16,-131,138,2021-09-01T09:15:00Z,PT5M
16,-133,136,2021-09-01T09:20:00Z,PT5M
16,-134,133,2021-09-01T09:25:00Z,PT5M
16,-136,130,2021-09-01T09:30:00Z,PT5M
16,-137,127,2021-09-01T09:35:00Z,PT5M
16,-138,132,2021-09-01T09:40:00Z,PT5M
16,-140,138,2021-09-01T09:45:00Z,PT5M
16,-141,143,2021-09-01T09:50:00Z,PT5M
16,-143,153,2021-09-01T09:55:00Z,PT5M
16,-145,163,2021-09-01T10:00:00Z,PT5M
16,-146,173,2021-09-01T10:05:00Z,PT5M
16,-148,176,2021-09-01T10:10:00Z,PT5M
16,-149,178,2021-09-01T10:15:00Z,PT5M
16,-151,180,2021-09-01T10:20:00Z,PT5M
16,-153,174,2021-09-01T10:25:00Z,PT5M
16,-154,167,2021-09-01T10:30:00Z,PT5M
16,-156,160,2021-09-01T10:35:00Z,PT5M
16,-158,167,2021-09-01T10:40:00Z,PT5M
16,-159,177,2021-09-01T10:45:00Z,PT5M
16,-161,186,2021-09-01T10:50:00Z,PT5M
16,-163,184,2021-09-01T10:55:00Z,PT5M
16,-165,180,2021-09-01T11:00:00Z,PT5M
16,-167,177,2021-09-01T11:05:00Z,PT5M
16,-168,173,2021-09-01T11:10:00Z,PT5M
16,-170,169,2021-09-01T11:15:00Z,PT5M
17,-172,165,2021-09-01T11:20:00Z,PT5M
17,-174,163,2021-09-01T11:25:00Z,PT5M
17,-176,161,2021-09-01T11:30:00Z,PT5M
17,-177,159,2021-09-01T11:35:00Z,PT5M
17,-179,165,2021-09-01T11:40:00Z,PT5M
17,179,171,2021-09-01T11:45:00Z,PT5M
17,177,177,2021-09-01T11:50:00Z,PT5M
17,175,187,2021-09-01T11:55:00Z,PT5M
17,173,198,2021-09-01T12:00:00Z,PT5M
17,172,209,2021-09-01T12:05:00Z,PT5M
17,170,220,2021-09-01T12:10:00Z,PT5M
17,168,231,2021-09-01T12:15:00Z,PT5M
17,166,242,2021-09-01T12:20:00Z,PT5M
17,164,236,2021-09-01T12:25:00Z,PT5M
17,163,228,2021-09-01T12:30:00Z,PT5M
17,161,219,2021-09-01T12:35:00Z,PT5M
17,159,226,2021-09-01T12:40:00Z,PT5M
17,157,234,2021-09-01T12:45:00Z,PT5M
17,156,242,2021-09-01T12:50:00Z,PT5M
17,154,241,2021-09-01T12:55:00Z,PT5M
17,152,239,2021-09-01T13:00:00Z,PT5M
17,151,237,2021-09-01T13:05:00Z,PT5M
17,149,230,2021-09-01T13:10:00Z,PT5M
17,147,223,2021-09-01T13:15:00Z,PT5M
17,146,216,2021-09-01T13:20:00Z,PT5M
17,144,211,2021-09-01T13:25:00Z,PT5M
17,143,206,2021-09-01T13:30:00Z,PT5M
17,141,201,2021-09-01T13:35:00Z,PT5M
17,140,205,2021-09-01T13:40:00Z,PT5M
17,138,211,2021-09-01T13:45:00Z,PT5M
17,137,216,2021-09-01T13:50:00Z,PT5M
